MAG_AUTO_R,MAG_u,i_stk_aper,z_stk_aper,g_stk_aper,Z_SPEC
21.926973342895508,23.1126,21.810375,21.667374,22.788834,0.0
22.487911224365234,23.4196,21.934168,21.843294,23.190598,0.8134843111038208
22.06621742248535,23.6269,21.657179,21.518997,23.103682,0.5102253556251526
23.116010665893555,23.6926,22.451656,22.32645,23.308372,0.823307454586029
22.425371170043945,23.598000000000006,22.382137,22.449318,23.115177,0.29067447781562805
20.823272705078125,24.1962,20.401861,20.140228,22.448881,0.3315982222557068
21.228160858154297,24.9497,20.727509,20.437746,22.76473,0.3864187598228455
22.82023048400879,23.0384,22.736765,22.597569,22.896057,1.1128239631652832
23.03291130065918,23.1152,22.646244,22.159216,23.12308,1.2388286590576172
23.651796340942386,24.2107,22.990807,22.673267000000006,23.955135,1.039799451828003
22.563175201416016,24.33,22.641968,22.19048,23.748055,0.25337108969688416
23.50945472717285,24.5468,23.699589000000003,23.541203,25.001947,0.6799094080924988
20.76336479187012,22.8742,20.486095,20.193327,22.031305,0.432573527097702
23.753814697265625,25.5088,23.389784,22.995787,24.121378,0.3854227364063263
22.86662292480469,24.0418,22.785059,22.62735,23.452494,0.2595135867595673
22.06854820251465,23.9751,21.870926,21.64403,23.49923,0.5142648220062256
20.140295028686523,22.4427,19.721277,19.446663,21.606739,0.5331199169158936
23.94032287597656,24.8298,23.570002,22.72996,24.37164,0.832978367805481
24.48697280883789,24.6904,23.7908,23.064411,24.685528,0.9989907145500184
22.790611267089844,23.7491,22.27707,22.299797,23.793688,0.5037363767623901
23.880800247192386,24.2103,23.510902,23.013018,24.321661,0.8125581145286559
23.732481002807607,24.8701,23.460163,22.699213,24.374123,0.8121654987335205
23.100177764892567,24.6825,23.313526,23.880133,24.93511,0.503463625907898
23.86307144165039,25.156,23.821669,22.792469,24.763435,0.3556128442287445
23.15881729125977,24.3437,22.810402,22.825462,24.858473,0.3863140642642975
22.800050735473643,26.832,22.29129,22.034498000000006,24.850391,0.8739825487136841
22.65254211425781,23.1414,22.295982,22.132832,23.09112,1.1658625602722168
23.09137916564941,24.8595,22.954573,23.085905,23.895748,0.5355563759803772
22.456092834472656,25.8875,21.86451,21.599375,24.29619,0.4339242875576019
22.605607986450195,23.8185,22.57347,22.569979,23.370487,0.2492945194244385
23.895885467529297,24.5767,23.385561,23.479267,24.683666,0.5322210788726807
24.22357177734375,24.5129,23.867855,23.64764,24.465025,1.521032214164734
22.873882293701172,24.5292,22.12973,21.030794,23.856289,1.1713327169418335
22.98300552368164,23.2791,22.847256,22.89773,23.092861,1.351349115371704
21.561708450317386,23.0128,21.41702,21.352835,22.2773,0.2661983668804169
23.389976501464844,24.1137,22.888744,22.636288,24.24056,0.9869850277900696
23.46232032775879,24.9098,23.10163,23.298048,24.297895,0.1458219438791275
22.47997093200684,23.5192,22.258148,21.953783,22.966797,0.2894000709056854
22.24043083190918,24.7292,21.824259,21.520784,23.73921,0.3777546286582947
22.012208938598643,23.5862,21.806538,21.610594,22.845745,0.3307088017463684
23.60378646850586,24.6495,23.811369,23.883509,24.616581,0.33071452379226685
22.917335510253906,25.4373,22.7181,22.456295,24.202456,0.01467584352940321
23.074447631835927,23.8277,22.763803,22.483704,23.699364000000006,0.8336057066917419
23.45930290222168,26.0853,22.409855,22.087029,24.515984,0.8222138285636902
22.120195388793945,23.6435,22.03619,21.996725,23.34701,0.43492722511291504
23.282915115356445,24.2788,23.266863,23.187517,24.221287,0.5486912727355957
22.968320846557607,23.4216,22.480406,22.389711,23.657263,0.8633936643600464
22.5726375579834,23.8364,22.350714,22.30645,23.700602,0.5037882924079895
22.121976852416992,23.4552,21.995964,21.968975,23.120863,0.4499340653419495
21.430490493774414,23.602,21.05151,20.815458,22.694544,0.5044991970062256
24.21755027770996,25.4871,24.301952,24.24156,24.136255,1.4949146509170532
23.73330307006836,25.1399,23.836824,24.12134,24.32907,0.2530996799468994
23.732200622558594,24.3447,23.55473,23.117538,23.585379,1.2541584968566897
21.795610427856445,23.0522,21.632372,21.275557,22.650257,0.5041605830192566
24.14689826965332,24.569000000000006,23.351446,23.676308,24.384754,0.4169876277446747
23.09830093383789,23.6578,22.570253,22.299887,23.399391,0.8237161636352539
22.749267578125,24.4788,22.463074,22.335176,23.159115,0.002472076797857881
22.850343704223643,23.9789,23.033928,22.827436,24.083872,0.5320153832435608
22.30537414550781,23.4065,21.87661,21.899511,23.168242000000006,0.6724585294723511
21.878719329833984,23.0839,21.325798,20.654919,23.063557,0.9939555525779724
23.877429962158203,24.1508,23.321344,22.57395,24.391527,0.9927995204925536
23.424373626708984,26.1449,22.450169,22.19009,24.81265,1.2471858263015747
22.72533798217773,23.7507,22.341116,22.092512,23.719177,0.836421549320221
21.209911346435547,22.4281,21.081173,21.032871,22.025309,0.4508073329925537
20.084379196166992,23.0687,19.739454,19.502846,21.408012,0.2493864893913269
23.76225662231445,25.1057,24.013145,23.126139,24.758242000000006,0.3658712804317473
24.01952743530273,24.2788,22.803055,22.558256,24.92305,0.33851414918899536
22.11103057861328,23.6828,21.867207,21.734201,23.09483,0.5330938100814819
22.80186462402344,23.9156,22.444061,22.475344,23.629017,0.533802330493927
23.91777229309082,24.0073,22.957998,22.71168,23.97984,0.823399543762207
23.66744804382324,25.1461,23.328573,24.052994,24.165924,0.5336434245109558
22.480772018432614,23.6249,22.40617,22.154633,23.24256,0.2865844964981079
23.868242263793945,24.4791,23.563255,23.86342,24.080427,1.8547197580337524
23.3894100189209,23.9532,22.883568,22.745092,24.003447,0.7483239173889159
22.43071746826172,24.5914,22.027153,21.707846,23.979162,0.5353448987007141
24.11496543884277,24.8089,23.869036,23.488256,24.651548,0.8116839528083801
21.397777557373047,22.8743,20.776772,20.484951,22.423054,0.7190424799919128
23.60050964355469,24.8344,23.69553,23.111973000000006,24.188625,0.4804719984531402
21.488330841064453,22.7846,21.342588,21.222563,22.082054,0.24938376247882846
20.545780181884766,22.9916,20.029936,19.71338,22.029913,0.534149706363678
22.77326011657715,23.0972,22.336727,21.894928,23.02966,1.0265523195266724
23.142900466918945,24.4394,22.564854,22.40401,24.801003,0.2825872600078583
20.55499267578125,23.6459,20.231018,19.91513,22.265558,0.4603731036186218
23.36504554748535,24.5697,23.256996,23.415482,24.0011,0.2816360592842102
23.75336456298828,25.7173,22.852373,21.761314,24.600582,1.2298727035522459
23.906740188598643,25.6775,23.56019,23.905369,24.756031,0.4844582378864288
22.353172302246094,23.7789,22.246094,22.154146,23.326553,0.43458056449890137
23.12616539001465,24.1744,23.172258,23.322197,23.69826,0.5340020656585693
22.486860275268555,23.4491,22.061195,21.74677,23.13611,0.8206489086151123
23.38460350036621,24.3009,22.801727,23.05852,24.153866,0.6827306747436523
