MAG_AUTO_R,MAG_u,z_stk_aper,i_stk_aper,g_stk_aper,Z_SPEC
21.926973342895508,23.1126,21.667374,21.810375,22.788834,0.0
22.487911224365234,23.4196,21.843294,21.934168,23.190598,0.8134843111038208
22.06621742248535,23.6269,21.518997,21.657179,23.103682,0.5102253556251526
23.116010665893555,23.6926,22.32645,22.451656,23.308372,0.823307454586029
22.425371170043945,23.598000000000006,22.449318,22.382137,23.115177,0.29067447781562805
20.823272705078125,24.1962,20.140228,20.401861,22.448881,0.3315982222557068
21.228160858154297,24.9497,20.437746,20.727509,22.76473,0.3864187598228455
22.82023048400879,23.0384,22.597569,22.736765,22.896057,1.1128239631652832
23.03291130065918,23.1152,22.159216,22.646244,23.12308,1.2388286590576172
23.651796340942386,24.2107,22.673267000000006,22.990807,23.955135,1.039799451828003
22.563175201416016,24.33,22.19048,22.641968,23.748055,0.25337108969688416
23.50945472717285,24.5468,23.541203,23.699589000000003,25.001947,0.6799094080924988
20.76336479187012,22.8742,20.193327,20.486095,22.031305,0.432573527097702
23.753814697265625,25.5088,22.995787,23.389784,24.121378,0.3854227364063263
22.86662292480469,24.0418,22.62735,22.785059,23.452494,0.2595135867595673
22.06854820251465,23.9751,21.64403,21.870926,23.49923,0.5142648220062256
20.140295028686523,22.4427,19.446663,19.721277,21.606739,0.5331199169158936
23.94032287597656,24.8298,22.72996,23.570002,24.37164,0.832978367805481
24.48697280883789,24.6904,23.064411,23.7908,24.685528,0.9989907145500184
22.790611267089844,23.7491,22.299797,22.27707,23.793688,0.5037363767623901
23.880800247192386,24.2103,23.013018,23.510902,24.321661,0.8125581145286559
23.732481002807607,24.8701,22.699213,23.460163,24.374123,0.8121654987335205
23.100177764892567,24.6825,23.880133,23.313526,24.93511,0.503463625907898
23.86307144165039,25.156,22.792469,23.821669,24.763435,0.3556128442287445
23.15881729125977,24.3437,22.825462,22.810402,24.858473,0.3863140642642975
22.800050735473643,26.832,22.034498000000006,22.29129,24.850391,0.8739825487136841
22.65254211425781,23.1414,22.132832,22.295982,23.09112,1.1658625602722168
23.09137916564941,24.8595,23.085905,22.954573,23.895748,0.5355563759803772
22.456092834472656,25.8875,21.599375,21.86451,24.29619,0.4339242875576019
22.605607986450195,23.8185,22.569979,22.57347,23.370487,0.2492945194244385
23.895885467529297,24.5767,23.479267,23.385561,24.683666,0.5322210788726807
24.22357177734375,24.5129,23.64764,23.867855,24.465025,1.521032214164734
22.873882293701172,24.5292,21.030794,22.12973,23.856289,1.1713327169418335
22.98300552368164,23.2791,22.89773,22.847256,23.092861,1.351349115371704
21.561708450317386,23.0128,21.352835,21.41702,22.2773,0.2661983668804169
23.389976501464844,24.1137,22.636288,22.888744,24.24056,0.9869850277900696
23.46232032775879,24.9098,23.298048,23.10163,24.297895,0.1458219438791275
22.47997093200684,23.5192,21.953783,22.258148,22.966797,0.2894000709056854
22.24043083190918,24.7292,21.520784,21.824259,23.73921,0.3777546286582947
22.012208938598643,23.5862,21.610594,21.806538,22.845745,0.3307088017463684
22.917335510253906,25.4373,22.456295,22.7181,24.202456,0.01467584352940321
23.074447631835927,23.8277,22.483704,22.763803,23.699364000000006,0.8336057066917419
23.45930290222168,26.0853,22.087029,22.409855,24.515984,0.8222138285636902
